AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6E    8       0       16      72      7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
1,0,0,af000000,DFlash,VecPower,256,30,33633.80,518.40,3157.77,167.30,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecPower,512,30,67087.31,692.68,6285.47,222.93,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecPower,1024,30,133739.90,737.13,12458.63,236.77,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecPower,2048,30,266772.10,681.76,24718.10,219.71,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecPower,4096,30,533012.10,1025.49,49294.10,330.07,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,256,30,33634.47,520.40,3157.70,167.10,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,512,30,67145.74,733.64,6303.97,235.58,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,1024,30,133769.70,758.97,12467.90,244.45,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,2048,30,266772.40,682.71,24718.04,219.58,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecPower,4096,30,533012.80,1026.87,49294.03,329.87,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecPower,256,30,33633.80,518.40,3157.77,167.30,274.70, 35.10,4562.47,235.40,26646.93, 59.80
3,0,0,af000000,DFlash,VecPower,512,30,67145.00,732.32,6304.03,235.71,546.30, 49.49,9019.47,332.57,53297.54, 84.35
3,0,0,af000000,DFlash,VecPower,1024,30,133750.70,734.89,12461.23,236.37,1061.63, 49.99,17744.70,333.59,106550.60, 84.58
