AURIX TC37x A-Step, 6MB FLASH, 3 cores, HSM: yes, EMEM: yes, CPU speed: 300.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6P    32      16      64      240     7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
1,0,0,af000000,DFlash,VecRead,512,30,38690.80,454.80,3141.40,136.20,  0.00,  0.00,  0.00,  0.00,519.03, 18.83
1,0,0,af000000,DFlash,VecRead,1024,30,77271.86,677.59,6267.90,203.26,  0.00,  0.00,  0.00,  0.00,1038.30, 27.51
1,0,0,af000000,DFlash,VecRead,2048,30,154241.70,773.47,12460.70,231.26,  0.00,  0.00,  0.00,  0.00,2069.13, 31.37
1,0,0,af000000,DFlash,VecRead,4096,30,307780.90,749.49,24730.53,222.19,  0.00,  0.00,  0.00,  0.00,4114.63, 30.22
2,0,0,af000000,DFlash,VecRead,256,30,19429.70,327.07,1587.17, 97.83,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,512,30,38690.19,453.49,3141.33,135.95,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,1024,30,77271.84,677.33,6267.83,203.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,2048,30,154237.10,769.34,12459.30,230.18,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecRead,4096,30,307779.00,746.69,24729.80,221.33,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecRead,256,30,19430.27,327.70,1587.23, 98.19,267.73, 20.10,  0.00,  0.00,17164.90, 62.24
3,0,0,af000000,DFlash,VecRead,512,30,38690.44,453.69,3141.33,135.95,527.47, 27.94,  0.00,  0.00,34328.07, 84.72
3,0,0,af000000,DFlash,VecRead,1024,30,77272.59,678.78,6267.90,203.26,1050.67, 41.74,  0.00,  0.00,68666.81,127.20
3,0,0,af000000,DFlash,VecRead,2048,30,154249.50,781.53,12463.37,233.84,2085.60, 48.30,  0.00,  0.00,137310.20,149.86
3,0,0,af000000,DFlash,VecRead,4096,30,307787.20,757.89,24732.53,224.71,4129.77, 46.74,  0.00,  0.00,274514.10,145.79
0,0,0,af000000,DFlash,VecWrite,256,30,7658.07,326.63,1840.17, 97.83,  9.83, 47.57,  6.90,  9.52,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,512,30,15081.57,325.79,3632.17, 97.83,  9.67, 46.67,  6.83,  9.50,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,1024,30,29990.17,452.30,7234.33,135.95, 18.43, 65.23,  8.63, 12.67,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,2048,30,59807.27,617.27,14438.73,185.43, 36.03, 88.93, 11.93, 17.68,  0.00,  0.00
0,0,0,af000000,DFlash,VecWrite,4096,30,119438.80,783.69,28845.03,234.62, 71.43,114.30, 18.43, 21.89,  0.00,  0.00
1,0,0,af000000,DFlash,VecWrite,256,30,7658.17,326.61,1840.23, 98.19,  0.00,  0.00,  0.00,  0.00,259.43, 13.10
1,0,0,af000000,DFlash,VecWrite,512,30,15082.43,326.19,3632.17, 97.83,  0.00,  0.00,  0.00,  0.00,515.50, 13.46
1,0,0,af000000,DFlash,VecWrite,1024,30,29990.26,453.74,7234.33,135.95,  0.00,  0.00,  0.00,  0.00,1030.00, 18.71
1,0,0,af000000,DFlash,VecWrite,2048,30,59807.90,619.09,14438.67,185.26,  0.00,  0.00,  0.00,  0.00,2058.77, 24.90
1,0,0,af000000,DFlash,VecWrite,4096,30,119437.00,781.65,28844.37,233.84,  0.00,  0.00,  0.00,  0.00,4116.23, 31.49
2,0,0,af000000,DFlash,VecWrite,256,30,7658.03,327.38,1840.17, 97.83,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,512,30,15081.37,325.08,3632.17, 97.83,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,1024,30,29990.43,453.16,7234.40,136.20,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,2048,30,59808.74,621.21,14438.73,185.43,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWrite,4096,30,119434.30,777.75,28843.70,233.12,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecWrite,256,30,7658.17,325.68,1840.17, 97.83,267.73, 20.10,  0.00,  0.00, 12.80, 60.95
3,0,0,af000000,DFlash,VecWrite,512,30,15081.50,325.25,3632.17, 97.83,523.73, 20.10,  0.00,  0.00, 12.47, 60.82
3,0,0,af000000,DFlash,VecWrite,1024,30,29990.40,454.24,7234.33,135.95,1039.47, 27.94,  0.00,  0.00, 24.90, 86.22
3,0,0,af000000,DFlash,VecWrite,2048,30,59806.54,615.31,14438.67,185.26,2070.93, 38.07,  0.00,  0.00, 46.50,114.94
3,0,0,af000000,DFlash,VecWrite,4096,30,119436.20,779.51,28844.37,233.80,4133.60, 48.30,  0.00,  0.00, 94.10,149.09
0,0,0,af000000,DFlash,VecPower,256,30,40295.89,545.48,3156.50,163.50,17435.00, 78.00,20483.16, 15.86,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,512,30,80354.67,679.47,6264.90,203.26,34860.60, 97.41,40967.30, 19.72,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,1024,30,160414.20,796.60,12463.70,238.25,69703.65,114.67,81931.57, 21.85,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,2048,30,320086.80,763.13,24730.20,225.66,139326.60,111.68,163849.60, 21.98,  0.00,  0.00
0,0,0,af000000,DFlash,VecPower,4096,30,639580.50,1097.51,49307.54,326.05,278590.80,159.84,327689.40, 27.28,  0.00,  0.00
1,0,0,af000000,DFlash,VecPower,256,30,40297.07,546.20,3156.57,163.70,  0.00,  0.00,  0.00,  0.00,1032.33, 22.00
1,0,0,af000000,DFlash,VecPower,512,30,80354.87,679.83,6264.90,203.26,  0.00,  0.00,  0.00,  0.00,2061.30, 27.51
1,0,0,af000000,DFlash,VecPower,1024,30,160414.90,797.74,12463.70,238.25,  0.00,  0.00,  0.00,  0.00,4116.53, 31.83
1,0,0,af000000,DFlash,VecPower,2048,30,320082.00,754.84,24728.20,222.98,  0.00,  0.00,  0.00,  0.00,8209.63, 30.21
1,0,0,af000000,DFlash,VecPower,4096,30,639569.60,1068.81,49304.20,317.58,  0.00,  0.00,  0.00,  0.00,16401.63, 43.04
2,0,0,af000000,DFlash,VecPower,256,30,40175.43,325.82,3120.17, 97.83,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
